index,seed,family,n,m,delta,Delta,high_degree,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
369,12714,hypercube,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
370,12715,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
371,12716,complete,15,105,14,14,True,1,1,True,1.0,1.0,4.0,True,True
372,12717,cocktail_party,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
373,12718,circulant,15,30,4,4,True,3,3,True,1.0,1.0,4.0,True,True
374,12719,random_regular,10,25,5,5,True,2,2,True,1.0,1.2,4.0,True,True
375,12720,erdos_renyi,10,37,6,9,True,1,1,True,1.0,1.0,4.0,True,True
376,12721,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
377,12722,paley,13,40,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
378,12723,complete,14,91,13,13,True,1,1,True,1.0,1.0,4.0,True,True
379,12724,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
380,12725,circulant,13,78,12,12,True,1,1,True,1.0,1.0,4.0,True,True
381,12726,random_regular,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
382,12727,erdos_renyi,13,50,6,10,True,2,2,True,1.0,1.6923,4.0,True,True
383,12728,hypercube,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
384,12729,paley,13,40,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
385,12730,complete,15,105,14,14,True,1,1,True,1.0,1.0,4.0,True,True
386,12731,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
387,12732,circulant,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
388,12733,random_regular,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
389,12734,erdos_renyi,12,50,6,11,True,1,1,True,1.0,1.0,4.0,True,True
390,12735,hypercube,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
391,12736,paley,13,41,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
392,12737,complete,11,55,10,10,True,1,1,True,1.0,1.0,4.0,True,True
393,12738,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
394,12739,circulant,9,18,4,4,True,2,2,True,1.0,1.1111,4.0,True,True
395,12740,random_regular,11,22,4,4,True,3,3,True,1.0,1.3636,4.0,True,True
396,12741,erdos_renyi,9,25,4,7,True,2,2,True,1.0,1.7778,4.0,True,True
397,12742,hypercube,8,14,3,5,True,2,2,True,1.0,1.5,4.0,True,True
398,12743,paley,5,7,2,3,True,2,2,True,1.0,1.6,4.0,True,True
399,12744,complete,14,91,13,13,True,1,1,True,1.0,1.0,4.0,True,True
400,12745,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
401,12746,circulant,12,48,8,8,True,2,2,True,1.0,1.5,4.0,True,True
402,12747,random_regular,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
403,12748,erdos_renyi,14,44,4,9,True,2,2,True,1.0,1.4286,4.0,True,True
404,12749,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
405,12750,paley,5,7,2,3,True,2,2,True,1.0,1.6,4.0,True,True
406,12751,complete,16,120,15,15,True,1,1,True,1.0,1.0,4.0,True,True
407,12752,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
408,12753,circulant,8,16,4,4,True,2,2,True,1.0,1.25,4.0,True,True
409,12754,random_regular,10,20,4,4,True,3,3,True,1.0,1.5,4.0,True,True
410,12755,erdos_renyi,9,30,5,8,True,1,1,True,1.0,1.0,4.0,True,True
411,12756,hypercube,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
412,12757,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
413,12758,complete,16,120,15,15,True,1,1,True,1.0,1.0,4.0,True,True
414,12759,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
415,12760,circulant,15,30,4,4,True,3,3,True,1.0,1.0,4.0,True,True
416,12761,random_regular,14,35,5,5,True,3,3,True,1.0,1.2857,4.0,True,True
417,12762,erdos_renyi,16,79,6,13,True,2,2,True,1.0,1.75,4.0,True,True
418,12763,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
419,12764,paley,13,40,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
420,12765,complete,8,28,7,7,True,1,1,True,1.0,1.0,4.0,True,True
421,12766,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
422,12767,circulant,13,26,4,4,True,3,3,True,1.0,1.1538,4.0,True,True
423,12768,random_regular,13,26,4,4,True,3,3,True,1.0,1.1538,4.0,True,True
424,12769,erdos_renyi,13,56,6,11,True,2,2,True,1.0,1.8462,4.0,True,True
425,12770,hypercube,8,14,3,4,True,2,2,True,1.0,1.25,4.0,True,True
426,12771,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
427,12772,complete,14,91,13,13,True,1,1,True,1.0,1.0,4.0,True,True
428,12773,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
429,12774,circulant,9,36,8,8,True,1,1,True,1.0,1.0,4.0,True,True
430,12775,random_regular,9,9,2,2,True,3,3,True,1.0,1.0,4.0,True,True
431,12776,erdos_renyi,14,65,7,11,True,2,2,True,1.0,1.7143,4.0,True,True
432,12777,hypercube,8,14,3,5,True,2,2,True,1.0,1.5,4.0,True,True
433,12778,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
434,12779,complete,7,21,6,6,True,1,1,True,1.0,1.0,4.0,True,True
435,12780,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
436,12781,circulant,13,65,10,10,True,2,2,True,1.0,1.6923,4.0,True,True
437,12782,random_regular,14,28,4,4,True,4,4,True,1.0,1.4286,4.0,True,True
438,12783,erdos_renyi,14,41,2,8,True,3,3,True,1.0,1.9286,4.0,True,True
439,12784,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
440,12785,paley,5,7,2,4,True,1,1,True,1.0,1.0,4.0,True,True
441,12786,complete,12,66,11,11,True,1,1,True,1.0,1.0,4.0,True,True
442,12787,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
443,12788,circulant,9,27,6,6,True,2,2,True,1.0,1.5556,4.0,True,True
444,12789,random_regular,10,20,4,4,True,2,2,True,1.0,1.0,4.0,True,True
445,12790,erdos_renyi,14,55,5,10,True,2,2,True,1.0,1.5714,4.0,True,True
446,12791,hypercube,8,14,3,4,True,2,2,True,1.0,1.25,4.0,True,True
447,12792,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
448,12793,complete,6,15,5,5,True,1,1,True,1.0,1.0,4.0,True,True
449,12794,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
