index,seed,family,n,m,delta,Delta,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
4946,5946,cocktail_multipartite,12,53,8,10,2,2,True,1.0,1.8333,4.0,True,True
4947,5947,random_regular,10,20,4,4,3,3,True,1.0,1.5,4.0,True,True
4948,5948,random_dense,16,46,1,9,3,3,True,1.0,1.875,4.0,True,True
4949,5949,greedy_trap,16,21,1,4,4,4,True,1.0,1.25,4.0,True,True
4950,5950,geometric_setcover,16,21,1,6,4,4,True,1.0,1.75,4.0,True,True
4951,5951,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
4952,5952,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
4953,5953,cocktail_multipartite,16,96,12,12,2,2,True,1.0,1.625,4.0,True,True
4954,5954,random_regular,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
4955,5955,random_dense,16,62,4,11,3,3,True,1.0,2.25,4.0,True,True
4956,5956,greedy_trap,12,17,1,5,3,3,True,1.0,1.5,4.0,True,True
